"cowcode","year","country","region","gwno","gwf_leadermil","Burin_counterbalancing","imf","riots365","p_riots365","np_riots365","anycoupatt_fin","reshuffleatt_fin","rechangeatt_fin","anycoupsucc_fin","reshufflesucc_fin","rechangesucc_fin","lag_rgdpe_PW","lag_rgdpo_PW","lag_pop_PW","ll_rgdpe_PW","ll_rgdpo_PW","lag_growth_rgdpe_PW","ll_pop_PW","gwf_legislature","gwf_elected_legis","gwf_nonelected_legis","postcold","lnmilex_MC","lnmilper_MC","solpay","lag1_lnmilex_MC","lag1_lnmilper_MC","lag1_solpay","war_PO","civilwar_PO","personalism","leader_duration","leaderfirstyear","leadername","anyattyrs","anyattyrs2","anyattyrs3","shuffattyrs","shuffattyrs2","shuffattyrs3","rechattyrs","rechattyrs2","rechattyrs3","ln_banks_protest_t1","multiattdv_fin","multisuccessdv_fin","e_regionpol","decade1","decade2","decade3","decade4","decade5","decade6","decade7"
100,1950,"Colombia","Latin America & Caribbean",100,0,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10.6292953491211,2.89037179946899,2431,NA,NA,NA,0,0,0,1,1950,"Ospina Perez",0,0,0,0,0,0,0,0,0,NA,0,0,2,0,1,0,0,0,0,0
100,1951,"Colombia","Latin America & Caribbean",100,0,NA,NA,0,0,0,0,0,0,0,0,0,37934.12109375,37509.48828125,11.9332762641804,10.5436062787612,10.5323492007875,NA,2.47933082239586,1,1,0,0,10.9353008270264,2.89037179946899,3301.29418945312,10.6292953491211,2.89037179946899,2431,0,0,0,1,1951,"Gomez",1,1,1,1,1,1,1,1,1,NA,0,0,2,0,1,0,0,0,0,0
100,1952,"Colombia","Latin America & Caribbean",100,0,NA,NA,0,0,0,0,0,0,0,0,0,38066.859375,38086.62890625,12.317621583901,10.5470993499137,10.5476185521758,0.00349917903520031,2.51103088621341,1,1,0,0,10.9981250762939,2.89037179946899,3515.35302734375,10.9353008270264,2.89037179946899,3301.29418945312,0,0,0.1362545,2,NA,"Gomez",2,4,8,2,4,8,2,4,8,NA,0,0,2,0,1,0,0,0,0,0
100,1953,"Colombia","Latin America & Caribbean",100,0,NA,NA,0,0,0,1,0,1,1,0,1,40575.1640625,40638.140625,12.7147614622088,10.6109114358127,10.6124623288681,0.0658920837884331,2.54276363835275,1,1,0,0,11.3534603118896,2.94443893432617,4736.611328125,10.9981250762939,2.89037179946899,3515.35302734375,0,0,0.1362545,3,NA,"Gomez",3,9,27,3,9,27,3,9,27,NA,2,2,2,0,1,0,0,0,0,0
100,1954,"Colombia","Latin America & Caribbean",100,1,NA,NA,0,0,0,0,0,0,0,0,0,44505.234375,44150.01171875,13.1253635095887,10.7033620876414,10.6953484714624,0.0968590122382823,2.57454650406283,0,0,0,0,11.6042547225952,2.99573230743408,5766.4208984375,11.3534603118896,2.94443893432617,4736.611328125,0,0,0.1141215,1,1954,"Rojas Pinilla",0,0,0,4,16,64,0,0,0,NA,0,0,2,0,1,0,0,0,0,0
100,1955,"Colombia","Latin America & Caribbean",100,1,NA,NA,0,0,0,0,0,0,0,0,0,49356.26953125,48385.05859375,13.5499009440609,10.8068200789657,10.7869463383043,0.108999204798593,2.60637923689758,0,0,0,0,11.5932884216309,2.56494927406311,9030.5830078125,11.6042547225952,2.99573230743408,5766.4208984375,0,0,0.1141215,2,NA,"Rojas Pinilla",1,1,1,5,25,125,1,1,1,NA,0,0,2,0,1,0,0,0,0,0
100,1956,"Colombia","Latin America & Caribbean",100,1,NA,NA,0,0,0,0,0,0,0,0,0,50783.671875,50235.07421875,13.9888695645885,10.8353301621167,10.8244687513264,0.0289203855418254,2.6382619823096,0,0,0,0,11.6329278945923,2.89037179946899,6632.2939453125,11.5932884216309,2.56494927406311,9030.5830078125,0,0,0.1141215,3,NA,"Rojas Pinilla",2,4,8,6,36,216,2,4,8,NA,0,0,2,0,1,0,0,0,0,0
100,1957,"Colombia","Latin America & Caribbean",100,1,NA,NA,0,0,0,1,1,0,1,1,0,51888.95703125,51373.9296875,14.4427798968362,10.85686127255,10.8468861182482,0.0217645773816941,2.67019462856763,0,0,0,0,11.6539039611816,2.7725887298584,7675.93310546875,11.6329278945923,2.89037179946899,6632.2939453125,0,0,0.1141215,4,NA,"Rojas Pinilla",3,9,27,7,49,343,3,9,27,NA,1,1,2,0,1,0,0,0,0,0
100,1958,"Colombia","Latin America & Caribbean",100,1,NA,NA,0,0,0,1,1,0,0,0,0,51545.85546875,51237.1796875,14.912911200307,10.8502270879346,10.8442207132683,-0.00661222699645645,2.70222736124719,0,0,0,0,10.8446073532104,2.99573230743408,2697.68432617188,11.6539039611816,2.7725887298584,7675.93310546875,0,0,0,1,1958,"Paris Gordillo",0,0,0,0,0,0,4,16,64,NA,1,0,2,0,1,0,0,0,0,0
101,1949,"Venezuela","Latin America & Caribbean",101,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10.7292623519897,1.0986123085022,22836,NA,NA,NA,0,0,0,1,1949,"Delgado Chalbaud",0,0,0,0,0,0,0,0,0,NA,0,0,2,1,0,0,0,0,0,0
